year,fips,state_name,race,num_stu_total,num_stu_9_10,num_stu_11,num_stu_12,num_stu_pub_total,num_stu_pub_9_10,num_stu_pub_11,num_stu_pub_12,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2014,2,Alaska,Total,2952,333,1395,1160,2855,329,1347,1117,1667,1048,0,0
2014,2,Alaska,White,2042,245,965,797,1968,241,929,764,,,0,0
2015,2,Alaska,Asian,430,48,183,193,425,48,182,189,,,0,0
2015,2,Alaska,Black,73,9,25,39,69,9,23,37,,,0,0
2015,2,Alaska,Hispanic,153,20,77,54,150,20,77,51,,,0,0
2015,2,Alaska,Total,3355,494,1456,1349,3273,489,1427,1302,1868,1171,0,0
2015,2,Alaska,White,2279,348,986,906,2217,344,962,873,,,0,0
2016,2,Alaska,Asian,327,62,141,120,325,62,140,119,,,0,0
2016,2,Alaska,Black,57,6,28,23,54,6,27,21,,,0,0
2016,2,Alaska,Hispanic,279,35,144,94,276,35,142,93,,,0,0
2016,2,Alaska,Total,3300,491,1471,1297,3213,487,1422,1263,1896,1224,0,0
2016,2,Alaska,White,2098,307,927,843,2031,304,888,818,,,0,0
2017,2,Alaska,Asian,383,69,164,144,376,68,163,139,,,0,0
2017,2,Alaska,Black,65,5,34,26,64,5,34,25,,,0,0
2017,2,Alaska,Hispanic,334,55,146,128,327,55,141,126,,,0,0
2017,2,Alaska,Total,3456,576,1493,1338,3358,570,1447,1293,1929,1180,0,0
2017,2,Alaska,White,2109,359,892,833,2039,354,862,799,,,0,0
2018,2,Alaska,Asian,434,81,190,159,429,81,189,156,,,0,0
2018,2,Alaska,Black,62,6,25,31,61,6,25,30,,,0,0
2018,2,Alaska,Hispanic,322,67,143,110,313,67,138,106,,,0,0
2018,2,Alaska,Total,3423,688,1422,1252,3328,676,1383,1210,1935,1211,0,0
2018,2,Alaska,White,2017,419,818,739,1960,409,799,712,,,0,0
2019,2,Alaska,Asian,408,81,154,169,404,81,152,167,,,0,0
2019,2,Alaska,Black,62,7,37,18,60,7,37,16,,,0,0
2019,2,Alaska,Hispanic,250,44,122,82,245,43,121,79,,,0,0
2019,2,Alaska,Total,3104,625,1328,1121,3040,622,1298,1091,1820,1118,0,0
2019,2,Alaska,White,1862,407,785,656,1822,407,762,640,,,0,0
2000,4,Arizona,Total,,,,,,,,,4378,2805,0,0
2001,4,Arizona,Asian,609,66,225,307,510,44,197,259,,,0,0
2001,4,Arizona,Black,129,4,45,76,110,3,37,66,,,0,0
2001,4,Arizona,Hispanic,773,62,342,350,656,49,296,295,,,0,0
2001,4,Arizona,Total,8480,644,3315,4325,6932,424,2751,3588,4717,3102,0,0
2001,4,Arizona,White,6137,456,2409,3154,4969,291,1974,2604,,,0,0
